,explicit_doi,bibref,retrieved_local_doi,retrieved_remote_doi,manual_doi,local_score
182,10.1016/j.electacta.2007.03.046,"Salimi, A, MamKhezri, H, Hallaj, R, Zandi, S. Modification of glassy carbon electrode with multi-walled carbon nanotubes and iron(III)-porphyrin film: application to chlorate, bromate and iodate detection, Electrochim. Acta, 2007, 52, 6097, 6105, DOI: 10.1016/j.electacta.2007.03.046",10.1016/j.electacta.2007.03.046,10.1016/j.electacta.2007.03.046,10.1016/j.electacta.2007.03.046,80.33288
183,10.1016/j.jpowsour.2012.05.043,"He, Q. Molecular catalysis of the oxygen reduction reaction by iron porphyrin catalysts tethered into Nafion layers: An electrochemical study in solution and a membrane-electrode-assembly study in fuel cells, J. Power Sources, 2012, 216, 67, 75, DOI: 10.1016/j.jpowsour.2012.05.043",10.1016/j.jpowsour.2012.05.043,10.1016/j.jpowsour.2012.05.043,10.1016/j.jpowsour.2012.05.043,61.56919499999999
184,10.1021/acs.jpclett.7b01126,"Alsudairi, A. Resolving the Iron Phthalocyanine Redox Transitions for ORR Catalysis in Aqueous Media, J. Phys. Chem. Lett, 2017, 8, 2881, 2886, DOI: 10.1021/acs.jpclett.7b01126, PMID: 28598166",10.1021/acs.jpclett.7b01126,10.1021/acs.jpclett.7b01126,10.1021/acs.jpclett.7b01126,54.12944
185,10.1149/1.2109667,"Zhang, L, Song, C, Zhang, J, Wang, H, Wilkinson, DP. Temperature and pH dependence of oxygen reduction catalyzed by iron fluoroporphyrin adsorbed on a graphite electrode, J. Electrochem. Soc, 2005, 152, A2421, A2426, DOI: 10.1149/1.2109667",10.1149/1.2109667,10.1149/1.2171714,10.1149/1.2109667,64.16448000000001
186,10.1021/acscentsci.9b00114,"Jackson, MN, Pegis, ML, Surendranath, Y. Graphite-conjugated acids reveal a molecular framework for proton-coupled electron transfer at electrode surfaces, ACS Cent. Sci, 2019, 5, 831, 841, PMID: 31139719",10.1021/acscentsci.9b00114,10.1021/acscentsci.9b00114,10.1021/acscentsci.9b00114,59.827065000000005
187,10.1021/acscatal.9b00588,"Luo, F. Accurate evaluation of active-site density (SD) and turnover frequency (TOF) of PGM-free metal–nitrogen-doped carbon (MNC) electrocatalysts using CO cryo adsorption, ACS Catal, 2019, 9, 4841, 4852, DOI: 10.1021/acscatal.9b00588",10.1021/acscatal.9b00588.s001,10.1021/acscatal.9b00588.s001,10.1021/acscatal.9b00588,72.54086
188,,"Asset, T, Atanassov, P. Iron-Nitrogen-Carbon Catalysts for Proton Exchange Membrane, Fuel Cells Joule, 2020, 4, 33, 44",10.1016/j.joule.2019.12.002,10.1016/j.joule.2019.12.002,10.1016/j.joule.2019.12.002,47.385796
189,10.1021/jp500781v,"Tylus, U. Elucidating oxygen reduction active sites in pyrolyzed metal–nitrogen coordinated non-precious-metal electrocatalyst systems, J. Phys. Chem. C, 2014, 118, 8999, 9008, DOI: 10.1021/jp500781v",10.1021/jp500781v,10.1021/jp500781v,10.1021/jp500781v,68.46584
190,10.1039/c6ee01160h,"Li, J. Structural and mechanistic basis for the high activity of Fe–N–C catalysts toward oxygen reduction, Energy Environ. Sci, 2016, 9, 2418, 2432, DOI: 10.1039/C6EE01160H",10.1039/c6ee01160h,10.1039/c6ee01160h,10.1039/c6ee01160h,42.74331
191,10.1016/j.elecom.2019.04.005,"Zúñiga, C. Elucidating the mechanism of the oxygen reduction reaction for pyrolyzed Fe-N-C catalysts in basic media, Electrochem. Commun, 2019, 102, 78, 82, DOI: 10.1016/j.elecom.2019.04.005",10.1016/j.elecom.2019.04.005,10.1016/j.elecom.2019.04.005,10.1016/j.elecom.2019.04.005,40.410470000000004
192,10.1021/jacs.7b10723,"Jackson, MN. Strong electronic coupling of molecular sites to graphitic electrodes via pyrazine conjugation, J. Am. Chem. Soc, 2018, 140, 1004, 1010, DOI: 10.1021/jacs.7b10723, PMID: 29216428",10.1021/jacs.7b10723.s001,10.1021/jacs.7b10723.s001,10.1021/jacs.7b10723,54.834740000000004
193,10.1021/ic00037a007,"Fitzgerald, JP, Haggerty, BS, Rheingold, AL, May, L, Brewer, GA. Iron octaethyltetraazaporphyrins: synthesis, characterization, coordination chemistry, and comparisons to related iron porphyrins and phthalocyanines, Inorg. Chem, 1992, 31, 2006, 2013, DOI: 10.1021/ic00037a007",10.1021/ic00037a007,10.1021/ic00037a007,10.1021/ic00037a007,71.52752
194,10.1021/ja410076f,"Kramm, UI, Lefèvre, M, Larouche, N, Schmeisser, D, Dodelet, J-P. Correlations between mass activity and physicochemical properties of Fe/N/C catalysts for the ORR in PEM fuel cell via, 57Fe Mössbauer spectroscopy and other techniques, J. Am. Chem. Soc, 2014, 136, 978, 985, DOI: 10.1021/ja410076f, PMID: 24345296",10.1021/ja410076f,10.1021/ja410076f,10.1021/ja410076f,83.30183000000001
195,10.1021/acsaem.8b00959,"Chen, Y, Matanovic, I, Weiler, E, Atanassov, P, Artyushkova, K. Mechanism of oxygen reduction reaction on transition metal–nitrogen–carbon catalysts: establishing the role of nitrogen-containing active sites, ACS Appl. Energy Mater, 2018, 1, 5948, 5953, DOI: 10.1021/acsaem.8b00959",10.1021/acsaem.8b00959,10.1021/acsaem.8b00959,10.1021/acsaem.8b00959,83.34463000000001
196,10.1002/anie.201604311,"Zagal, JH, Koper, MTM. Reactivity descriptors for the activity of molecular MN4 catalysts for the oxygen reduction reaction, Angew. Chem. Int. Ed, 2016, 55, 14510, 14521, DOI: 10.1002/anie.201604311",10.1002/anie.201604311,10.1002/anie.201604311,10.1002/anie.201604311,70.19791
197,10.1149/2.032206esl,"Zagal, JH. A Possible Interpretation for the high catalytic activity of heat-treated non-precious metal Nx/C catalysts for O, 2 reduction in terms of their formal potentials, Electrochem. Solid-State Lett, 2012, 15, B90, DOI: 10.1149/2.032206esl",10.1149/2.032206esl,10.1149/2.032206esl,10.1149/2.032206esl,60.797253000000005
198,10.1149/1.2904768,"Bonakdarpour, A. Impact of Loading in RRDE Experiments on Fe–N–C Catalysts: Two-or Four-Electron Oxygen Reduction, Electrochem. Solid-State Lett, 2008, 11, B105, DOI: 10.1149/1.2904768",10.1149/1.2904768,10.1149/1.2904768,10.1149/1.2904768,52.979618
199,10.1021/acscatal.5b00397,"Muthukrishnan, A, Nabae, Y, Okajima, T, Ohsaka, T. Kinetic approach to investigate the mechanistic pathways of oxygen reduction reaction on Fe-containing N-doped carbon catalysts, ACS Catal, 2015, 5, 5194, 5202, DOI: 10.1021/acscatal.5b00397",10.1021/acscatal.5b00397,10.1021/acscatal.5b00397,10.1021/acscatal.5b00397,79.627716
200,10.1021/jacs.5b00359,"Rigsby, ML, Wasylenko, DJ, Pegis, ML, Mayer, JM. Medium effects are as important as catalyst design for selectivity in electrocatalytic oxygen reduction by iron–porphyrin complexes, J. Am. Chem. Soc, 2015, 137, 4296, 4299, DOI: 10.1021/jacs.5b00359, PMID: 25798713",10.1021/jacs.5b00359,10.1021/jacs.5b00359,10.1021/jacs.5b00359,78.30011
201,10.1002/bbpc.19810850917,"van Veen, JAR. Oxygen reduction on transition-metal porphyrins in acid electrolyte I. Activity, Ber. Bunsenges. F.ür. Phys. Chem, 1981, 85, 693, 700, DOI: 10.1002/bbpc.19810850917",10.1002/bbpc.19810850917,10.1002/bbpc.19810850918,10.1002/bbpc.19810850917,45.361393
202,10.1002/bbpc.19810850918,"van Veen, JAR, Colijn, HA. Oxygen reduction on transition-metal porphyrins in acid electrolyte II. Stability, Ber. Bunsenges. F.ür. Phys. Chem, 1981, 85, 700, 704, DOI: 10.1002/bbpc.19810850918",10.1002/bbpc.19810850918,10.1002/bbpc.19810850918,10.1002/bbpc.19810850918,55.577858
203,10.1016/j.jelechem.2004.11.034,"Baranton, S, Coutanceau, C, Roux, C, Hahn, F, Léger, J-M. Oxygen reduction reaction in acid medium at iron phthalocyanine dispersed on high surface area carbon substrate: tolerance to methanol, stability and kinetics, J. Electroanal. Chem, 2005, 577, 223, 234, DOI: 10.1016/j.jelechem.2004.11.034",10.1016/j.jelechem.2004.11.034,10.1016/j.jelechem.2004.11.034,10.1016/j.jelechem.2004.11.034,75.23607
204,10.1039/c8ee01855c,"Choi, CH. The Achilles’ heel of iron-based catalysts during oxygen reduction in an acidic medium, Energy Environ. Sci, 2018, 11, 3176, 3182, DOI: 10.1039/C8EE01855C",10.1039/c8ee01855c,10.1039/c8ee01855c,10.1039/c8ee01855c,38.899464
205,10.1016/s0040-4039(03)01710-6,"Wang, W-J, Sengul, A, Luo, C-F, Kao, H-C, Cheng, Y-H. Facile one-step synthesis of a thia-bridged bis-1,10-phenanthroline macrocycle, Tetrahedron Lett, 2003, 44, 7099, 7101, DOI: 10.1016/S0040-4039(03)01710-6",10.1016/s0040-4039(03)01710-6,10.1016/s0040-4039(03)01710-6,10.1016/s0040-4039(03)01710-6,57.97996
206,10.1016/j.tetlet.2009.01.138,"Krapcho, AP, Sparapani, S, Leenstra, A, Seitz, JD. Displacement reactions of 2-chloro-and 2,9-dichloro-1,10-phenanthroline: synthesis of a sulfur-bridged bis-1,10-phenanthroline macrocycle and a 2,2′-amino-substituted-bis-1,10-phenanthroline, Tetrahedron Lett, 2009, 50, 3195, 3197, DOI: 10.1016/j.tetlet.2009.01.138",10.1016/j.tetlet.2009.01.138,10.1016/j.tetlet.2009.01.138,10.1016/j.tetlet.2009.01.138,85.85710999999999
207,10.1080/00304948.2012.697745,"Guo, HC, Zheng, RH, Jiang, HJ. Improved synthesis of 2,9-dichloro-1,10-phenanthroline, Org. Prep. Proced. Int, 2012, 44, 392, 396, DOI: 10.1080/00304948.2012.697745",10.1080/00304948.2012.697745,10.1080/00304948.2012.697745,10.1080/00304948.2012.697745,32.250873999999996
208,10.1021/om400846f,"Annibale, VT, Batcup, R, Bai, T, Hughes, SJ, Song, D. RuCp* complexes of ambidentate 4,5-diazafluorene derivatives: from linkage isomers to coordination-driven self-assembly, Organometallics, 2013, 32, 6511, 6521, DOI: 10.1021/om400846f",10.1021/om400846f,10.1021/om400846f,10.1021/om400846f,80.687164
209,,"Ogawa, S, Yamaguchi, T. & Gotoh, N. Synthesis of a novel macrocyclic compound and of its copper complex. J. Chem. Soc, Chem. Commun. 577–578 (1972).",10.1039/c39720000577,10.1039/c39720000577,10.1039/c39720000577,47.446636
210,10.1016/0022-3697(82)90028-2,"Vaishnava, PP, Montano, PA. In situ Mössbauer spectroscopic study of iron III chloride intercalated in graphite under reaction conditions, J. Phys. Chem. Solids, 1982, 43, 809, 815, DOI: 10.1016/0022-3697(82)90028-2",10.1016/0022-3697(82)90028-2,10.1016/0022-3697(82)90028-2,10.1016/0022-3697(82)90028-2,56.43221
211,,"Schlögl, R. & Jones, W. On the structure and properties of iron halide–graphite intercalates: a comparison of the reactivity of free and graphite-intercalated iron(III) chloride. J. Chem. Soc, Dalton Trans. 1283–1292 (1984).",10.1039/dt9840001283,10.1039/dt9840001283,10.1039/dt9840001283,64.89165
212,10.1515/znb-1983-0414,"Kalz, W, Homborg, H. Eisen(III)phthalocyanine: Darstellung und spektroskopische Charakterisierung von [Fe(OR), 2Pc(—2)]− (R = H, CH, 3, C, 2H, 5, (CH, 3), 2CH, (CH, 3), 3C), (FePc(—2)), 2O und FeXPc(—2) (X = F, Cl, Br, I) Z, Für. Naturforsch. B, 1983, 38, 470, 484, DOI: 10.1515/znb-1983-0414",10.1515/znb-1983-0414,10.1515/znb-1983-0414,10.1515/znb-1983-0414,84.20902
213,10.1021/jp203741y,"Ganguly, A, Sharma, S, Papakonstantinou, P, Hamilton, J. Probing the thermal deoxygenation of graphene oxide using high-resolution in situ X-ray-based spectroscopies, J. Phys. Chem. C, 2011, 115, 17009, 17019, DOI: 10.1021/jp203741y",10.1021/jp203741y,10.1021/jp203741y,10.1021/jp203741y,72.94118
214,10.1080/00268976.2014.952696,"Shao, Y. Advances in molecular quantum chemistry contained in the Q-Chem 4 program package, Mol. Phys, 2015, 113, 184, 215, DOI: 10.1080/00268976.2014.952696",10.1063/5.0004608,EXCEPTION: 'title',10.1080/00268976.2014.952696,15.644020999999999
215,10.1063/1.1626543,"Staroverov, VN, Scuseria, GE, Tao, J, Perdew, JP. Comparative assessment of a new nonempirical density functional: molecules and hydrogen-bonded complexes, J. Chem. Phys, 2003, 119, 12129, DOI: 10.1063/1.1626543",10.1063/1.1795692,10.1063/1.1795692,10.1063/1.1795692,55.619296999999996
216,10.1063/1.1677527,"Hehre, WJ, Ditchfield, R, Pople, JA. Self-consistent molecular orbital methods. XII. Further extensions of Gaussian-type basis sets for use in molecular orbital studies of organic molecules, J. Chem. Phys, 1972, 56, 2257, DOI: 10.1063/1.1677527",10.1063/1.1677527,10.1063/1.1677527,10.1063/1.1677527,70.274826
217,10.1063/1.1674902,"Ditchfield, R, Hehre, WJ, Pople, JA. Self-consistent molecular-orbital methods. IX. An extended Gaussian-type basis for molecular-orbital studies of organic molecules, J. Chem. Phys, 1971, 54, 724, DOI: 10.1063/1.1674902",10.1063/1.1674902,10.1063/1.1674902,10.1063/1.1674902,64.0841
218,10.1002/jcc.540040303,"Clark, T, Chandrasekhar, J, Spitznagel, GW, Schleyer, PVR. Efficient diffuse function-augmented basis sets for anion calculations. III. The 3-21+G basis set for first-row elements, Li-F, J. Comput. Chem, 1983, 4, 294, 301, DOI: 10.1002/jcc.540040303",10.1002/jcc.540040303,10.1002/jcc.540040303,10.1002/jcc.540040303,80.38061
219,10.1063/1.474659,"Cances, E, Mennucci, B, Tomasi, J. A new integral equation formalism for the polarizable continuum model: theoretical background and applications to isotropic and anisotropic dielectrics, J. Chem. Phys, 1997, 107, 3032, DOI: 10.1063/1.474659",10.1063/1.474659,10.1063/1.474659,10.1063/1.474659,59.590157
220,10.1107/s0021889808012016,"Momma, K, Izumi, F. VESTA: a three-dimensional visualization system for electronic and structural analysis, J. Appl. Crystallogr, 2008, 41, 653, 658, DOI: 10.1107/S0021889808012016",10.1107/s0021889808012016,10.1107/s0021889808012016,10.1107/s0021889808012016,53.604983999999995
221,10.1021/acscatal.6b01581,"Zhou, R, Zheng, Y, Jaroniec, M, Qiao, S-Z. Determination of the electron transfer number for the oxygen reduction reaction: from theory to experiment, ACS Catal, 2016, 6, 4720, 4728, DOI: 10.1021/acscatal.6b01581",10.1021/acscatal.6b01581,10.1021/acscatal.6b01581,10.1021/acscatal.6b01581,64.60155999999999
222,,"Song, C. & Zhang, J. In PEM Fuel Cell Electrocatalysts and Catalyst Layers (ed. Zhang, J.) 89–134 (Springer London, 2008).",10.1007/978-1-84800-936-3,10.1007/978-1-84800-936-3,10.1007/978-1-84800-936-3,27.121809999999996
223,10.1016/j.jsbmb.2013.05.011,"Gupta, A, Kumar, SB, Negi, AS. Current status on development of steroids as anticancer agents. J Steroid Biochem Mol Biol 2013; 137: 242–70. PMID: 23727548",10.1016/j.jsbmb.2013.05.011,10.1016/j.jsbmb.2013.05.011,10.1016/j.jsbmb.2013.05.011,38.59823
224,,"Butenandt, A, Wolff, A, Karlson, P. Über Lumi-oestron. Chem Ber 1941; 74: 1308–12.",10.1002/cber.19410740724,10.1002/cber.19410740724,10.1002/cber.19410740724,45.66581
225,,"Yaremenko, FG, Khvat, AV. A new one-pot synthesis of 17-oxo-13α-steroids of the androstane series from their 13β-analogues. Mendeleev Commun 1994; 187: 187–8.",10.1070/mc1994v004n05abeh000409,10.1070/mc1994v004n05abeh000409,10.1070/mc1994v004n05abeh000409,65.2225
226,10.1016/j.jsbmb.2011.07.009,"Ayan, D, Roy, J, Maltais, R, Poirier, D. Impact of estradiol structural modifications (18-methyl and/or 17-hydroxy inversion of configuration) on the in vitro and in vivo estrogenic activity. J Steroid Biochem Mol Biol 2011; 127: 324–30. PMID: 21827856",10.1016/j.jsbmb.2011.07.009,10.1016/j.jsbmb.2011.07.009,10.1016/j.jsbmb.2011.07.009,58.314552
227,10.1021/jo000108x,"Schönecker, B, Lange, C, Kötteritzsch, M, et al. Conformational design for 13α-steroids. J Org Chem 2000; 65: 5487–97. PMID: 10970286",10.1021/jo000108x,10.1021/jo000108x,10.1021/jo000108x,44.366528
228,10.1016/j.ejmech.2014.09.051,"Kaur, R, Kaur, G, Kaur Gill, R, et al. Recent developments in tubulin polymerization inhibitors: an overview. Eur J Med Chem 2014; 87: 89–124. PMID: 25240869",10.1016/j.ejmech.2014.09.051,10.1016/j.ejmech.2014.09.051,10.1016/j.ejmech.2014.09.051,47.05773
229,10.1016/j.tcb.2018.05.001,"Steinmetz, MO, Prota, AE. Microtubule-targeting agents: strategies to hijack the cytoskeleton. Trends Cell Biol 2018; 28: 776–92. PMID: 29871823",10.1016/j.tcb.2018.05.001,10.1016/j.tcb.2018.05.001,10.1016/j.tcb.2018.05.001,45.530120000000004
230,10.1016/j.ejmech.2019.03.025,"Naaz, F, Haider, MR, Shafi, S, Yar, MS. Anti-tubulin agents of natural origin: targeting taxol, vinca, and colchicine binding domains. Eur J Med Chem 2019; 171: 310–31. PMID: 30953881",10.1016/j.ejmech.2019.03.025,10.1016/j.ejmech.2019.03.025,10.1016/j.ejmech.2019.03.025,57.796673
231,10.1016/j.ejmech.2017.11.062,"Cao, YN, Zheng, LL, Wang, D, et al. Recent advances in microtubule-stabilizing agents. Eur J Med Chem 2018; 143: 806–28. PMID: 29223097",10.1016/j.ejmech.2017.11.062,10.1016/j.ejmech.2017.11.062,10.1016/j.ejmech.2017.11.062,28.316004
232,10.1016/j.chembiol.2013.01.014,"Field, JJ, Díaz, JF, Miller, JH. The binding sites of microtubule-stabilizing agents. Chem Biol 2013; 20: 301–15. PMID: 23521789",10.1016/j.chembiol.2013.01.014,10.1016/j.chembiol.2013.01.014,10.1016/j.chembiol.2013.01.014,31.877975
233,10.4155/fmc-2017-0100,"Li, W, Sun, H, Xu, S, et al. Tubulin inhibitors targeting the colchicine binding site: a perspective of privileged structures. Future Med Chem 2017; 9: 1765–94. PMID: 28929799",10.4155/fmc-2017-0100,10.4155/fmc-2017-0100,10.4155/fmc-2017-0100,43.321632
234,10.1021/ml200149g,"Beale, TM, Allwood, DM, Bender, A, et al. A-ring dihalogenation increases the cellular activity of combretastatin templated tetrazoles. ACS Med Chem Lett 2012; 3: 177–81. PMID: 24900453",10.1021/ml200149g,10.1021/ml200149g,10.1021/ml200149g,41.868633
235,,"Liang, L, Astruc, D. The copper(I)-catalyzed alkyne-azide cycloaddition (CuAAC) “click” reaction and its applications. An overview. Coord Chem Rev 2011; 255: 2933–45.",10.1016/j.ccr.2011.06.028,10.1016/j.ccr.2011.06.028,10.1016/j.ccr.2011.06.028,50.145171999999995
236,,"Szabó, J, Jerkovics, N, Schneider, G, et al. Synthesis and in vitro antiproliferative evaluation of C-13 epimers of triazolyl-d-secoestrone alcohols: the first potent 13α-d-secoestrone derivative. Molecules 2016; 21: 611–24.",10.3390/molecules21050611,10.3390/molecules21050611,10.3390/molecules21050611,74.2808
237,10.1016/j.jsbmb.2016.06.013,"Bózsity, N, Minorics, R, Szabó, J, et al. Mechanism of antiproliferative action of a new d-secoestrone-triazole derivative in cervical cancer cells and its effect on cancer cell motility. J Steroid Biochem Mol Biol 2017; 165: 247–57. PMID: 27363663",10.1016/j.jsbmb.2016.06.013,10.1016/j.jsbmb.2016.06.013,10.1016/j.jsbmb.2016.06.013,53.199535
238,10.1016/j.steroids.2016.05.010,"Szabó, J, Pataki, Z, Wölfling, J, et al. Synthesis and biological evaluation of 13α-estrone derivatives as potential antiproliferative agents. Steroids 2016; 113: 14–21. PMID: 27263437",10.1016/j.steroids.2016.05.010,10.1016/j.steroids.2016.05.010,10.1016/j.steroids.2016.05.010,50.91751
239,10.1080/14756366.2018.1490731,"Bacsa, I, Herman, BE, Jójárt, R, et al. Synthesis and structure-activity relationships of 2-and/or 4-halogenated 13β-and 13α-estrone derivatives as enzyme inhibitors of estrogen biosynthesis. J Enzyme Inhib Med Chem 2018; 33: 1271–82. PMID: 30230387",10.1080/14756366.2018.1490731,10.1080/14756366.2018.1490731,10.1080/14756366.2018.1490731,57.64403000000001
240,10.3762/bjoc.14.262,"Jójárt, R, Pécsy, S, Keglevich, G, et al. Pd-catalyzed microwave-assisted synthesis of phosphonated 13α-estrones as potential OATP2B1, 17β-HSD1 and/or STS inhibitors. Beilstein J Org Chem 2018; 14: 2838–45. PMID: 30498534",10.3762/bjoc.14.262,10.3762/bjoc.14.262,10.3762/bjoc.14.262,78.24933
241,,"Hirao, T, Masunaga, T, Ohshiro, Y, Agawa, T. Stereoselective synthesis of vinylphosphonate. Tetrahedron Lett 1980; 21: 3595–8.",10.1016/0040-4039(80)80245-0,10.1016/0040-4039(80)80245-0,10.1016/0040-4039(80)80245-0,44.423203
242,,"Keglevich, G, Jablonkai, E, László, BB. A “green” variation of the Hirao reaction: the P-C coupling of diethyl phosphite, alkyl phenyl-H-phosphinates and secondary phosphine oxides with bromoarenes using a P-ligand-free Pd(OAc) 2 catalyst under micro-wave and solvent-free conditions. RSC Adv 2014; 4: 22808–16.",10.1039/c4ra03292f,10.1039/c4ra03292f,10.1039/c4ra03292f,84.560074
243,10.1021/acs.joc.6b00220,"Dziuganowska, ZA, Ślepokura, K, Volle, JN, et al. Structural analogues of Selfotel (CGS-19755). J Org Chem 2016; 81: 4947–54. PMID: 27187758",10.1021/acs.joc.6b00220,10.1021/acs.joc.6b00220,10.1021/acs.joc.6b00220,42.9514
244,10.1002/adsc.201700895,"Keglevich, G, Henyecz, R, Mucsi, Z, Kiss, NZ. The palladium acetate-catalyzed microwave-assisted Hirao reaction without an added phosphorus ligand as a “green” protocol: a quantum chemical study on the mechanism. Adv Synth Catal 2017; 359: 4322–31. PMID: 29399016",10.1002/adsc.201700895,10.1002/adsc.201700895,10.1002/adsc.201700895,76.32399000000001
245,10.1016/j.dmpk.2014.10.005,"Matsumoto, J, Ariyoshi, N, Sakakibara, M, et al. Organic anion transporting polypeptide 2B1 expression correlates with uptake of estrone-3-sulfate and cell proliferation in estrogen receptor-positive breast cancer cells. Drug Metab Pharmacokinet 2015; 30: 133–41. PMID: 25857231",10.1016/j.dmpk.2014.10.005,10.1016/j.dmpk.2014.10.005,10.1016/j.dmpk.2014.10.005,54.37602
246,10.1124/jpet.112.192344,"Banerjee, N, Allen, C, Bendayan, R. Differential role of organic anion-transporting polypeptides in estrone-3-sulphate uptake by breast epithelial cells and breast cancer cells. J Pharmacol Exp Ther 2012; 342: 510–09. PMID: 22588260",10.1124/jpet.112.192344,10.1124/jpet.112.192344,10.1124/jpet.112.192344,70.06253000000001
247,10.1016/j.steroids.2014.05.015,"Mernyák, E, Szabó, J, Bacsa, I, et al. Syntheses and antiproliferative effects of D-homo-and D-secoestrones. Steroids 2014; 87: 128–36. PMID: 24928727",10.1016/j.steroids.2014.05.015,10.1016/j.steroids.2014.05.015,10.1016/j.steroids.2014.05.015,43.62153
248,10.2174/092986712802430072,"Peyrat, J-F, Brion, J-D, Alami, M. Synthetic 2-methoxyestradiol derivatives: structure-activity relationships. Curr Med Chem 2012; 19: 4142–56. PMID: 22709003",10.2174/092986712802430072,10.2174/092986712802430072,10.2174/092986712802430072,43.43199
249,10.1016/0022-1759(83)90303-4,"Mosmann, T. Rapid colorimetric assay for cellular growth and survival: application to proliferation and citotoxicity assays. J Immunol Methods 1983; 65: 55–63. PMID: 6606682",10.1016/0022-1759(83)90303-4,10.1016/0022-1759(83)90303-4,10.1016/0022-1759(83)90303-4,43.260174
251,10.1021/jm030644s,"Halgren, TA, Murphy, RB, Friesner, RA, et al. Glide: a new approach for rapid, accurate docking and scoring. 2. Enrichment factors in database screening. J Med Chem 2004; 47: 1750–9. PMID: 15027866",10.1021/jm030644s,10.1021/jm030644s,10.1021/jm030644s,49.011375
253,10.1093/nar/28.1.235,"Berman, HM, Westbrook, J, Feng, Z, et al. The protein data bank. Protein Data Bank Nucleic Acids Res 2000; 28: 235–42. PMID: 10592235",10.1093/nar/28.1.235,10.2210/rcsb_pdb/pdb-cit-anal-2017,10.1093/nar/28.1.235,30.706131
254,,"Sastry, GM, Adzhigirey, M, Day, T, et al. Protein and ligand preparation: parameters, protocols, and influence on virtual screening enrichments. J Comput Aid Mol Des 2013; 27: 221–34.",10.1007/s10822-013-9644-8,10.1007/s10822-013-9644-8,10.1007/s10822-013-9644-8,50.207638
256,,"Bowers, KJ, Chow, E, Xu, H, et al, Scalable Algorithms for Molecular Dynamics Simulations on Commodity Clusters. Proceedings of the ACM/IEEE Conference on Supercomputing (SC06), Tampa, FL, 2006, November 11–17.",10.1145/1188455.1188544,10.1145/1188455.1188544,10.1145/1188455.1188544,29.988971999999997
258,10.1021/acs.jctc.5b00864,"Harder, E, Damm, W, Maple, J, et al. OPLS3: a force field providing broad coverage of drug-like small molecules and proteins. J Chem Theory Comput 2016; 12: 281–96. PMID: 26584231",10.1021/acs.jctc.5b00864.s001,10.1021/acs.jctc.5b00864.s001,10.1021/acs.jctc.5b00864,45.003685
259,,"Hoover, WG. Canonical dynamics: equilibrium phase-space distributions. Phys Rev A 1985; 31: 1695–7.",10.1103/physreva.31.1695,10.1103/physreva.31.1695,10.1103/physreva.31.1695,35.821815
260,10.1038/nrd.2018.21,"Ferguson, FM, Gray, NS. Kinase inhibitors: the road ahead. Nat Rev Drug Discov 2018; 17: 353–77. PMID: 29545548",10.1038/nrd.2018.21,10.1038/nrd.2018.21,10.1038/nrd.2018.21,38.868206
261,10.1186/s12943-018-0804-2,"Bhullar, KS, Lagaron, NO, McGowan, EM, et al. Kinase-targeted cancer therapies: progress, challenges and future directions. Mol Cancer 2018; 17: 48. PMID: 29455673",10.1186/s12943-018-0804-2,10.1186/s12943-018-0804-2,10.1186/s12943-018-0804-2,35.566353
262,10.1016/j.tips.2015.04.005,"Wu, P, Nielsen, TE, Clausen, MH. FDA-approved small-molecule kinase inhibitors. Trends Pharmacol Sci 2015; 36: 422–39. PMID: 25975227",10.1016/j.tips.2015.04.005,10.1016/j.tips.2015.04.005,10.1016/j.tips.2015.04.005,38.673218
263,10.1016/j.phrs.2019.104609,"Roskoski, R, Jr. Properties of FDA-approved small molecule protein kinase inhibitors: a 2020 update. Pharmacol Res 2020; 152: 104609. PMID: 31862477",10.1016/j.phrs.2019.104609,10.1016/j.phrs.2019.104609,10.1016/j.phrs.2019.104609,50.3883
264,10.1016/j.currproblcancer.2013.06.001,"Jeong, W, Doroshow, JH, Kummar, S. United States Food and Drug Administration approved oral kinase inhibitors for the treatment of malignancies. Curr Probl Cancer 2013; 37: 110–44. PMID: 23972982",10.1016/j.currproblcancer.2013.06.001,10.1016/j.currproblcancer.2013.06.001,10.1016/j.currproblcancer.2013.06.001,49.336009999999995
265,10.1021/acs.jmedchem.8b01469,"Tadesse, S, Caldon, EC, Tilley, W, Wang, S. Cyclin-dependent kinase 2 inhibitors in cancer therapy: an update. J Med Chem 2019; 62: 4233–51. PMID: 30543440",10.1021/acs.jmedchem.8b01469,10.1021/acs.jmedchem.8b01469,10.1021/acs.jmedchem.8b01469,48.761112
267,10.1073/pnas.90.3.1112,"Keyomarsi, K, Pardee, AB. Redundant cyclin overexpression and gene amplification in breast cancer cells. Proc Natl Acad Sci U S A 1993; 90: 1112–6. PMID: 8430082",10.1073/pnas.90.3.1112,10.1073/pnas.90.3.1112,10.1073/pnas.90.3.1112,43.453959999999995
268,10.18632/oncotarget.4600,"Yang, L, Fang, D, Chen, H, et al. Cyclin-dependent kinase 2 is an ideal target for ovary tumors with elevated cyclin E1 expression. Oncotarget 2015; 6: 20801–12. PMID: 26204491",10.18632/oncotarget.4600,10.18632/oncotarget.4600,10.18632/oncotarget.4600,51.716736
